Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-06-08,COIN,Coinbase,Stock,8817744,Strong,Long,29.5%,XGB:0.22|LGB:0.32|LR:0.42|N:340|Base:0.29,Doji (十字星),19.82,6.54,162.11,11.87,138.37,21.0,3404.0
2026-06-08,CRWV,,Stock,23333216,Strong,Long,40.5%,XGB:0.71|LGB:0.67|LR:0.56|N:266|Base:0.32,Doji (十字星),4.47,16.16,102.37,8.97,84.43,27.0,2763.0
2026-06-05,NO_SIGNAL,无信号,Info,0,No Signal,无信号,N/A,N/A,无信号,,,,,,,
2026-06-04,QQQ,纳斯达克100指数ETF,Index ETF,36871759,Strong,Short,18.2%,XGB:0.01|LGB:0.02|LR:0.10|N:338|Base:0.25,"Doji (十字星), Doji (十字星), Doji (十字星), Doji (十字星), Doji (十字星)",82.41,105.72,740.61,9.97,760.55,25.0,18515.0
2026-06-04,SOXL,半导体3倍做多ETF,Index ETF,57927507,Strong,Short,27.2%,XGB:0.11|LGB:0.19|LR:0.37|N:336|Base:0.30,Doji (十字星),89.16,97.17,262.7,24.69,312.08,10.0,2627.0
2026-06-04,AMD,超威半导体,Stock,28296824,Strong,Short,32.5%,XGB:0.26|LGB:0.32|LR:0.47|N:338|Base:0.32,Hanging Man (吊颈线),82.73,102.51,523.2,27.1,577.4,9.0,4708.0
2026-06-04,MU,美光科技,Stock,53659458,Strong,Short,32.8%,XGB:0.38|LGB:0.54|LR:0.16|N:338|Base:0.30,"Hanging Man (吊颈线), Doji (十字星)",85.55,95.67,996.0,60.68,1117.36,4.0,3984.0
2026-06-04,COIN,Coinbase,Stock,8312755,Strong,Long,30.7%,XGB:0.22|LGB:0.10|LR:0.47|N:338|Base:0.29,Doji (十字星),2.19,10.53,164.13,11.53,141.07,21.0,3446.0
2026-06-04,CRCL,,Stock,12120114,Strong + Div,Long,38.0%,XGB:0.77|LGB:0.69|LR:0.68|N:214|Base:0.29,Doji (十字星),8.99,19.37,90.54,9.26,72.02,26.0,2354.0
2026-06-03,IWM,罗素2000指数ETF,Index ETF,28654690,Strong,Short,29.9%,XGB:0.25|LGB:0.19|LR:0.48|N:335|Base:0.31,"Doji (十字星), Doji (十字星)",79.32,98.83,287.67,4.66,296.99,53.0,15246.0
2026-06-03,QQQ,纳斯达克100指数ETF,Index ETF,37748173,Strong,Short,18.5%,XGB:0.03|LGB:0.02|LR:0.09|N:337|Base:0.25,"Doji (十字星), Doji (十字星), Doji (十字星)",97.23,107.36,744.21,9.85,763.91,25.0,18605.0
2026-06-03,SOXL,半导体3倍做多ETF,Index ETF,45514604,Strong,Short,30.6%,XGB:0.28|LGB:0.37|LR:0.27|N:335|Base:0.30,Doji (十字星),102.88,103.14,280.54,22.59,325.72,11.0,3085.0
2026-06-03,AAPL,苹果,Stock,50459550,Strong,Short,30.4%,XGB:0.09|LGB:0.22|LR:0.46|N:337|Base:0.29,"Doji (十字星), Doji (十字星)",64.89,104.67,310.26,6.06,322.38,41.0,12720.0
2026-06-03,HOOD,罗宾汉,Stock,23782951,Strong,Short,33.5%,XGB:0.30|LGB:0.28|LR:0.40|N:337|Base:0.34,"Hanging Man (吊颈线), Doji (十字星)",66.19,76.63,82.85,5.17,93.19,48.0,3976.0
2026-06-03,MU,美光科技,Stock,39267880,Strong + Div,Short,28.4%,XGB:0.35|LGB:0.54|LR:0.12|N:337|Base:0.30,Doji (十字星),106.01,104.63,1079.57,57.05,1193.67,4.0,4318.0
2026-06-02,IWM,罗素2000指数ETF,Index ETF,16560279,Strong,Short,33.5%,XGB:0.38|LGB:0.33|LR:0.54|N:334|Base:0.31,Doji (十字星),99.49,106.01,291.66,4.65,300.96,53.0,15457.0
2026-06-02,QQQ,纳斯达克100指数ETF,Index ETF,28237099,Strong,Short,23.8%,XGB:0.24|LGB:0.25|LR:0.09|N:336|Base:0.25,Doji (十字星),104.12,109.25,746.16,10.02,766.2,24.0,17907.0
2026-06-02,SPY,标普500指数ETF,Index ETF,26951269,Strong + Div,Short,13.1%,XGB:0.01|LGB:0.01|LR:0.04|N:336|Base:0.18,"Doji (十字星), Doji (十字星)",104.34,109.28,759.57,6.55,772.67,38.0,28863.0
2026-06-02,AMD,超威半导体,Stock,22885826,Strong + Div,Short,43.2%,XGB:0.78|LGB:0.72|LR:0.47|N:336|Base:0.32,Hanging Man (吊颈线),98.44,106.56,521.54,25.98,573.5,9.0,4693.0
2026-06-02,HOOD,罗宾汉,Stock,26280303,Strong,Short,38.5%,XGB:0.47|LGB:0.52|LR:0.43|N:336|Base:0.34,"Hanging Man (吊颈线), Doji (十字星)",93.89,91.5,88.16,5.12,98.4,48.0,4231.0
2026-06-02,MU,美光科技,Stock,46275666,Strong + Div,Short,26.5%,XGB:0.19|LGB:0.19|LR:0.17|N:336|Base:0.30,Hanging Man (吊颈线),106.9,104.32,1064.1,57.54,1179.18,4.0,4256.0
2026-06-02,PLTR,帕兰提尔,Stock,42489927,Strong,Short,39.0%,XGB:0.40|LGB:0.51|LR:0.60|N:336|Base:0.35,Doji (十字星),80.23,83.43,152.17,6.86,165.89,36.0,5478.0
2026-06-01,IWM,罗素2000指数ETF,Index ETF,22465015,Strong,Short,30.5%,XGB:0.24|LGB:0.22|LR:0.50|N:333|Base:0.31,"Doji (十字星), Doji (十字星), Doji (十字星), Doji (十字星)",96.47,101.19,288.98,4.74,298.46,52.0,15026.0
2026-06-01,QQQ,纳斯达克100指数ETF,Index ETF,31432122,Strong + Div,Short,19.1%,XGB:0.06|LGB:0.03|LR:0.09|N:335|Base:0.25,Doji (十字星),101.11,108.03,742.74,10.24,763.22,24.0,17825.0
2026-06-01,SOXL,半导体3倍做多ETF,Index ETF,36693578,Strong + Div,Short,32.9%,XGB:0.46|LGB:0.43|LR:0.19|N:333|Base:0.30,Dark Cloud Cover (乌云盖顶),89.59,98.12,227.03,20.85,268.73,11.0,2497.0
2026-06-01,SPY,标普500指数ETF,Index ETF,38439176,Strong + Div,Short,13.2%,XGB:0.02|LGB:0.01|LR:0.04|N:335|Base:0.18,Doji (十字星),103.63,108.62,758.54,6.78,772.1,36.0,27307.0
2026-06-01,AMD,超威半导体,Stock,33164674,Strong,Short,41.7%,XGB:0.65|LGB:0.70|LR:0.51|N:335|Base:0.32,Hanging Man (吊颈线),95.88,103.71,510.13,26.35,562.83,9.0,4591.0
2026-06-01,HOOD,罗宾汉,Stock,42114393,Strong,Short,30.2%,XGB:0.16|LGB:0.15|LR:0.41|N:335|Base:0.34,Hanging Man (吊颈线),106.42,98.69,90.73,5.16,101.05,48.0,4355.0
