Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-07-15,NO_SIGNAL,无信号,Info,0,No Signal,无信号,,,无信号,,,,,,,
2026-06-05,NO_SIGNAL,无信号,Info,0,No Signal,无信号,,,无信号,,,,,,,
2026-05-20,NO_SIGNAL,无信号,Info,0,No Signal,无信号,,,无信号,,,,,,,
2026-03-02,NO_SIGNAL,无信号,Info,0,No Signal,无信号,,,无信号,,,,,,,
2026-07-01,IWM,罗素2000指数ETF,Index ETF,20383671,Strong,Short,24.7%,XGB:0.08|LGB:0.14|LR:0.40|N:316|Base:0.28,"Doji (十字星), Doji (十字星), Doji (十字星)",77.59,94.17,299.32,5.33,309.98,46.0,13768.0
2026-06-30,IWM,罗素2000指数ETF,Index ETF,19867674,Strong + Div,Short,29.6%,XGB:0.18|LGB:0.14|LR:0.46|N:315|Base:0.28,"Doji (十字星), Doji (十字星)",91.45,99.83,300.45,5.45,311.35,45.0,13520.0
2026-06-29,IWM,罗素2000指数ETF,Index ETF,24616296,Strong,Short,29.3%,XGB:0.12|LGB:0.16|LR:0.45|N:314|Base:0.28,"Doji (十字星), Doji (十字星), Doji (十字星)",84.34,96.09,298.97,5.6,310.17,44.0,13154.0
2026-06-26,IWM,罗素2000指数ETF,Index ETF,38304807,Strong + Div,Short,31.4%,XGB:0.41|LGB:0.34|LR:0.48|N:313|Base:0.28,Doji (十字星),87.92,97.32,299.83,5.63,311.09,44.0,13192.0
2026-06-25,IWM,罗素2000指数ETF,Index ETF,26212547,Strong + Div,Short,28.2%,XGB:0.27|LGB:0.18|LR:0.52|N:312|Base:0.28,"Doji (十字星), Doji (十字星), Doji (十字星)",83.73,95.02,298.91,5.74,310.39,43.0,12853.0
2026-06-24,IWM,罗素2000指数ETF,Index ETF,28157782,Strong,Short,30.4%,XGB:0.36|LGB:0.25|LR:0.56|N:311|Base:0.28,"Doji (十字星), Doji (十字星), Doji (十字星)",86.1,93.46,296.69,5.81,308.31,43.0,12757.0
2026-06-23,IWM,罗素2000指数ETF,Index ETF,26360368,Strong,Short,31.6%,XGB:0.19|LGB:0.15|LR:0.55|N:310|Base:0.28,"Doji (十字星), Doji (十字星), Doji (十字星)",87.99,90.29,295.32,5.87,307.06,42.0,12403.0
2026-06-22,IWM,罗素2000指数ETF,Index ETF,22330405,Strong,Short,33.0%,XGB:0.25|LGB:0.28|LR:0.57|N:309|Base:0.28,Doji (十字星),96.92,97.92,298.18,5.88,309.94,42.0,12523.0
2026-06-18,IWM,罗素2000指数ETF,Index ETF,32132338,Strong + Div,Short,33.3%,XGB:0.15|LGB:0.19|LR:0.64|N:308|Base:0.29,"Doji (十字星), Doji (十字星), Doji (十字星)",85.6,94.48,295.59,6.03,307.65,41.0,12119.0
2026-06-16,IWM,罗素2000指数ETF,Index ETF,23345642,Strong,Short,31.0%,XGB:0.31|LGB:0.34|LR:0.53|N:306|Base:0.29,"Doji (十字星), Doji (十字星)",82.8,84.56,292.08,5.96,304.0,41.0,11975.0
2026-06-15,IWM,罗素2000指数ETF,Index ETF,23642851,Strong + Div,Short,30.6%,XGB:0.40|LGB:0.19|LR:0.57|N:305|Base:0.29,"Doji (十字星), Doji (十字星)",88.99,91.79,294.64,6.02,306.68,41.0,12080.0
2026-06-12,IWM,罗素2000指数ETF,Index ETF,33943341,Strong + Div,Short,29.6%,XGB:0.24|LGB:0.27|LR:0.55|N:304|Base:0.29,Doji (十字星),79.55,92.82,292.95,6.11,305.17,40.0,11718.0
2026-06-03,IWM,罗素2000指数ETF,Index ETF,28654690,Strong,Short,30.1%,XGB:0.36|LGB:0.37|LR:0.44|N:297|Base:0.27,"Doji (十字星), Doji (十字星)",79.32,98.83,287.67,4.66,296.99,53.0,15246.0
2026-06-02,IWM,罗素2000指数ETF,Index ETF,16560279,Strong,Short,32.9%,XGB:0.46|LGB:0.48|LR:0.53|N:296|Base:0.27,Doji (十字星),99.49,106.01,291.66,4.65,300.96,53.0,15457.0
2026-06-01,IWM,罗素2000指数ETF,Index ETF,22465015,Strong,Short,28.2%,XGB:0.25|LGB:0.25|LR:0.51|N:295|Base:0.27,"Doji (十字星), Doji (十字星), Doji (十字星), Doji (十字星)",96.47,101.19,288.98,4.74,298.46,52.0,15026.0
2026-05-29,IWM,罗素2000指数ETF,Index ETF,26671903,Strong,Short,32.9%,XGB:0.51|LGB:0.42|LR:0.52|N:294|Base:0.28,"Doji (十字星), Doji (十字星), Doji (十字星)",106.28,104.89,290.43,4.77,299.97,52.0,15102.0
2026-05-27,IWM,罗素2000指数ETF,Index ETF,24193751,Strong,Short,39.0%,XGB:0.70|LGB:0.77|LR:0.55|N:292|Base:0.28,"Doji (十字星), Doji (十字星)",110.51,106.32,290.37,4.86,300.09,51.0,14808.0
2026-05-26,IWM,罗素2000指数ETF,Index ETF,24225765,Strong,Short,36.3%,XGB:0.62|LGB:0.56|LR:0.62|N:291|Base:0.28,Doji (十字星),106.92,108.38,290.51,5.05,300.61,49.0,14234.0
2026-05-22,IWM,罗素2000指数ETF,Index ETF,22304841,Strong,Short,31.6%,XGB:0.37|LGB:0.35|LR:0.63|N:290|Base:0.28,Doji (十字星),86.23,103.63,285.12,5.02,295.16,49.0,13970.0
2026-05-12,IWM,罗素2000指数ETF,Index ETF,26076705,Strong,Short,26.2%,XGB:0.19|LGB:0.22|LR:0.43|N:282|Base:0.27,"Doji (十字星), Bearish Engulfing (看跌吞没), Doji (十字星), Doji (十字星), Doji (十字星)",73.19,108.2,282.57,4.7,291.97,53.0,14976.0
2026-05-11,IWM,罗素2000指数ETF,Index ETF,20010054,Strong,Short,28.7%,XGB:0.30|LGB:0.34|LR:0.43|N:281|Base:0.27,"Doji (十字星), Bearish Engulfing (看跌吞没), Doji (十字星)",86.86,112.75,285.33,4.52,294.37,55.0,15693.0
2026-05-08,IWM,罗素2000指数ETF,Index ETF,22333066,Strong,Short,27.8%,XGB:0.20|LGB:0.34|LR:0.44|N:280|Base:0.27,"Doji (十字星), Bearish Engulfing (看跌吞没), Doji (十字星)",82.62,114.09,284.17,4.64,293.45,53.0,15061.0
2026-05-07,IWM,罗素2000指数ETF,Index ETF,27974440,Strong,Short,27.1%,XGB:0.26|LGB:0.23|LR:0.41|N:279|Base:0.27,"Doji (十字星), Bearish Engulfing (看跌吞没)",84.25,110.94,282.26,4.79,291.84,52.0,14677.0
2026-05-06,IWM,罗素2000指数ETF,Index ETF,23328230,Strong,Short,31.3%,XGB:0.38|LGB:0.47|LR:0.50|N:278|Base:0.27,Doji (十字星),103.56,119.29,286.8,4.67,296.14,53.0,15200.0
2026-04-24,IWM,罗素2000指数ETF,Index ETF,20786577,Strong,Short,32.7%,XGB:0.77|LGB:0.46|LR:0.24|N:294|Base:0.30,"Bearish Engulfing (看跌吞没), Doji (十字星), Doji (十字星), Doji (十字星)",72.68,105.91,276.65,4.95,286.55,50.0,13832.0
2026-04-23,IWM,罗素2000指数ETF,Index ETF,32549966,Strong,Short,26.6%,XGB:0.09|LGB:0.21|LR:0.20|N:293|Base:0.30,"Doji (十字星), Bearish Engulfing (看跌吞没), Doji (十字星), Doji (十字星)",75.74,103.69,275.52,5.03,285.58,49.0,13500.0
2026-04-22,IWM,罗素2000指数ETF,Index ETF,20105627,Strong,Short,32.2%,XGB:0.37|LGB:0.44|LR:0.22|N:292|Base:0.30,"Doji (十字星), Bearish Engulfing (看跌吞没), Doji (十字星)",80.41,105.58,276.48,4.96,286.4,50.0,13824.0
2026-04-21,IWM,罗素2000指数ETF,Index ETF,31124914,Strong,Short,33.0%,XGB:0.37|LGB:0.53|LR:0.18|N:291|Base:0.31,"Doji (十字星), Bearish Engulfing (看跌吞没)",83.15,101.69,274.51,5.08,284.67,49.0,13450.0
